microcolony-number,batch,colony-derived-from,treatment,egg-laying-day,day-egg-laying-post-exposure,day-larvae-present
1,1,1,control,5,4,9
2,1,1,control,7,6,11
3,1,2,control,5,4,9
4,1,2,control,5,4,9
5,1,3,control,5,4,9
6,1,3,control,5,4,9
7,1,5,control,2,1,6
8,1,5,control,7,6,11
9,1,6,control,5,4,9
10,1,6,control,5,4,9
11,1,1,sivanto,7,6,11
12,1,1,sivanto,7,6,11
13,1,2,sivanto,5,4,9
14,1,2,sivanto,5,4,9
15,1,3,sivanto,7,6,11
16,1,3,sivanto,3,2,7
17,1,5,sivanto,7,6,11
18,1,5,sivanto,7,6,11
19,1,6,sivanto,3,2,7
20,1,6,sivanto,5,4,9
21,1,1,fpf-pure,5,4,9
22,1,1,fpf-pure,5,4,9
23,1,2,fpf-pure,5,4,9
24,1,2,fpf-pure,5,4,9
25,1,3,fpf-pure,5,4,9
26,1,3,fpf-pure,5,4,9
27,1,5,fpf-pure,3,2,7
28,1,5,fpf-pure,5,4,9
29,1,6,fpf-pure,3,2,7
30,1,6,fpf-pure,7,6,11
31,2,1,control,5,4,9
32,2,1,control,7,6,11
33,2,2,control,5,4,9
34,2,2,control,3,2,7
35,2,3,control,5,4,9
36,2,3,control,5,4,9
37,2,5,control,2,1,6
38,2,5,control,5,4,9
39,2,6,control,5,4,9
40,2,6,control,5,4,9
41,2,1,sivanto,5,4,9
42,2,1,sivanto,17,16,21
43,2,2,sivanto,3,2,7
44,2,2,sivanto,3,2,7
45,2,3,sivanto,2,1,6
46,2,3,sivanto,2,1,6
47,2,5,sivanto,5,4,9
48,2,5,sivanto,2,1,6
49,2,6,sivanto,5,4,9
50,2,6,sivanto,5,4,9
51,2,1,fpf-pure,7,6,11
52,2,1,fpf-pure,15,14,19
53,2,2,fpf-pure,3,2,7
54,2,2,fpf-pure,2,1,6
55,2,3,fpf-pure,5,4,9
56,2,3,fpf-pure,3,2,7
57,2,5,fpf-pure,5,4,9
58,2,5,fpf-pure,5,4,9
59,2,6,fpf-pure,5,4,9
60,2,6,fpf-pure,7,6,11
61,3,1,control,7,6,11
62,3,1,control,9,8,13
63,3,2,control,5,4,9
64,3,2,control,1,0,5
65,3,3,control,9,8,13
66,3,3,control,5,4,9
67,3,5,control,5,4,9
68,3,5,control,5,4,9
69,3,6,control,7,6,11
70,3,6,control,3,2,7
71,3,1,sivanto,9,8,13
72,3,1,sivanto,7,6,11
73,3,2,sivanto,3,2,7
74,3,2,sivanto,1,0,5
75,3,3,sivanto,5,4,9
76,3,3,sivanto,3,2,7
77,3,5,sivanto,5,4,9
78,3,5,sivanto,5,4,9
79,3,6,sivanto,5,4,9
80,3,6,sivanto,5,4,9
81,3,1,fpf-pure,7,6,11
82,3,1,fpf-pure,5,4,9
83,3,2,fpf-pure,2,1,6
84,3,2,fpf-pure,5,4,9
85,3,3,fpf-pure,7,6,11
86,3,3,fpf-pure,2,1,6
87,3,5,fpf-pure,5,4,9
88,3,5,fpf-pure,7,6,11
89,3,6,fpf-pure,5,4,9
90,3,6,fpf-pure,5,4,9
