microcolony,batch,colony,treatment,number_of_eggs,number_of_larvae,number_of_pupae,total_brood
1,1,1,control,22,32,3,57
2,1,1,control,56,29,7,92
3,1,2,control,57,121,22,200
4,1,2,control,127,98,21,246
5,1,3,control,42,68,11,121
6,1,3,control,25,42,32,99
7,1,5,control,5,57,16,78
8,1,5,control,25,85,3,113
9,1,6,control,51,70,5,126
10,1,6,control,27,112,12,151
21,1,1,fpf-pure,67,50,10,127
22,1,1,fpf-pure,44,39,0,83
23,1,2,fpf-pure,46,140,18,204
24,1,2,fpf-pure,107,118,24,249
25,1,3,fpf-pure,29,90,27,146
26,1,3,fpf-pure,22,68,3,93
27,1,5,fpf-pure,52,51,16,119
28,1,5,fpf-pure,10,76,15,101
29,1,6,fpf-pure,36,101,15,152
30,1,6,fpf-pure,25,93,11,129
31,2,1,control,0,33,19,52
32,2,1,control,61,98,25,184
33,2,2,control,42,89,22,153
34,2,2,control,7,29,4,40
35,2,3,control,7,62,26,95
36,2,3,control,18,32,9,59
37,2,5,control,0,16,8,24
38,2,5,control,7,38,12,57
39,2,6,control,16,56,0,72
40,2,6,control,6,38,15,59
51,2,1,fpf-pure,25,5,14,44
52,2,1,fpf-pure,14,68,0,82
53,2,2,fpf-pure,54,72,20,146
54,2,2,fpf-pure,26,67,11,104
55,2,3,fpf-pure,0,47,22,69
56,2,3,fpf-pure,43,47,23,113
57,2,5,fpf-pure,27,90,20,137
58,2,5,fpf-pure,17,39,4,60
59,2,6,fpf-pure,4,48,8,60
60,2,6,fpf-pure,20,34,7,61
61,3,1,control,15,30,27,72
62,3,1,control,11,53,15,79
63,3,2,control,9,55,23,87
64,3,2,control,80,61,19,160
65,3,3,control,101,27,30,158
66,3,3,control,88,102,36,226
67,3,5,control,33,57,9,99
68,3,5,control,43,56,11,110
69,3,6,control,0,40,3,43
70,3,6,control,8,57,2,67
81,3,1,fpf-pure,68,47,26,141
82,3,1,fpf-pure,38,60,21,119
83,3,2,fpf-pure,23,58,20,101
84,3,2,fpf-pure,69,77,26,172
85,3,3,fpf-pure,73,102,26,201
86,3,3,fpf-pure,0,30,11,41
87,3,5,fpf-pure,4,63,12,79
88,3,5,fpf-pure,9,41,22,72
89,3,6,fpf-pure,42,40,13,95
90,3,6,fpf-pure,12,83,24,119
