microcolony-number,batch,colony-derived-from,treatment,pollen-in-day-1,gravity-feeder-mass-day-1,sucrose-in-mass-day-1,pollen-out-day-2,pollen-in-day-2,sucrose-out-day-2,gravity-feeder-mass-day-2,sucrose-in-mass-day-2,pollen-out-day-3,pollen-in-day-3,sucrose-out-day-3,gravity-feeder-mass-day-3,sucrose-in-mass-day-3,pollen-out-day-5,pollen-in-day-5,sucrose-out-day-5,gravity-feeder-mass-day-5,sucrose-in-mass-day-5,pollen-out-day-7,pollen-in-day-7,sucrose-out-day-7,gravity-feeder-mass-day-7,sucrose-in-mass-day-7,pollen-out-day-9,pollen-in-day-9,sucrose-out-day-9,gravity-feeder-mass-day-9,sucrose-in-mass-day-9,pollen-out-day-11,sucrose-out-day-11
1,1,1,control,4.317,17.118,19.175,3.69,4.266,33.289,16.708,19.104,3.616,4.035,32.294,17.068,19.806,3.223,4.78,29.455,16.798,19.494,3.952,4.133,28.981,16.792,19.705,3.36,4.096,29.567,17.349,19.644,3.081,29.963
2,1,1,control,4.177,17.091,19.12,3.533,4.041,33.487,17.243,19.189,3.367,4.784,32.584,17.096,19.521,3.892,4.859,29.947,16.882,19.551,3.925,4.765,29.645,16.796,19.547,3.839,4.792,29.573,17.128,19.172,3.682,29.479
3,1,2,control,4.42,16.713,19.869,3.71,4.344,33.66,16.679,19.635,3.718,4.394,33.309,16.847,19.337,3.462,4.627,31.165,17.308,19.506,3.693,4.427,30.62,17.098,19.191,3.501,4.118,30.227,17.018,19.312,3.201,29.841
4,1,2,control,4.315,16.722,19.174,3.218,4.78,33.391,16.955,19.217,3.921,4.753,33.237,17.165,19.294,3.585,4.366,31.035,16.854,19.206,3.449,4.713,30.22,17.148,19.075,3.818,4.349,30.13,16.8,19.228,3.324,29.298
5,1,3,control,4.636,17.111,19.138,4.067,4.577,33.368,17.151,19.417,4.047,4.986,32.875,16.86,19.448,4.197,4.662,28.959,17.099,19.24,3.829,4.368,30.172,17.306,19.275,3.561,4.233,30.391,17.187,19.137,3.348,30.14
6,1,3,control,4.579,17.006,19.156,3.901,4.171,33.231,17.449,19.814,3.565,4.404,33.94,17.154,19.03,3.468,4.053,29.767,17.349,19.312,3.237,4.176,29.878,16.795,19.072,3.385,4.919,29.083,17.069,19.085,3.945,29.063
7,1,5,control,4.836,16.781,19.67,3.739,4.9,33.964,17.008,19.329,4.266,4.503,32.544,16.839,19.282,3.588,4.122,30.622,16.723,19.165,3.33,4.667,30.613,16.894,19.062,3.772,4.606,31.029,16.813,19.116,3.273,30.112
8,1,5,control,4.857,17.063,19.218,3.949,4.444,33.41,17.103,19.644,3.715,4.265,33.581,16.906,19.024,3.227,4.47,30.9,16.751,19.317,3.579,4.42,30.918,17.029,19.416,3.564,4.102,30.824,16.888,19.195,3.135,30.117
9,1,6,control,4.931,16.964,19.52,4.333,4.101,33.545,17.325,19.36,3.469,4.195,33.632,17.135,19.03,3.212,4.266,30.609,16.777,19.102,3.468,4.044,29.971,16.643,19.109,3.368,4.771,29.994,16.832,19.212,3.563,29.762
10,1,6,control,4.259,16.709,19.856,3.564,4.636,32.889,16.755,19.4,3.918,4.631,31.988,17.174,19.458,3.641,4.782,29.575,16.777,19.287,3.896,4.854,28.683,16.836,19.474,3.972,4.692,28.494,16.847,19.211,3.662,28.287
21,1,1,fpf-pure,4.766,17.028,19.077,4.163,4.294,32.86,17.058,19.741,3.689,4.795,33.61,17.115,19.242,3.912,4.217,30.039,16.864,19.328,3.392,4.36,29.693,17.07,19.649,3.444,4.583,30.83,16.752,19.663,3.622,30.848
22,1,1,fpf-pure,4.9,16.576,19.871,4.271,4.339,33.065,16.682,19.078,3.748,4.653,32.273,16.714,19.512,3.756,4.685,29.945,17.087,19.049,3.781,4.721,29.482,17.109,19.093,3.726,4.865,29.65,16.834,19.829,3.835,30.15
23,1,2,fpf-pure,4.116,16.662,19.431,3.511,4.344,32.891,17.017,19.089,3.694,4.843,32.575,16.712,19.27,3.922,4.826,30.663,17.043,19.39,3.997,4.407,30.557,17.278,19.133,3.623,4.5,29.98,16.698,19.447,3.539,29.865
24,1,2,fpf-pure,4.064,16.979,19.83,3.373,4.135,33.898,17.037,19.949,3.416,4.278,34.185,16.844,19.061,3.267,4.798,30.146,17.099,19.113,3.731,4.703,30.15,17.271,19.275,3.677,4.698,29.629,17.067,19.597,3.511,30.189
25,1,3,fpf-pure,4.93,16.698,19.239,3.961,4.798,32.824,16.999,19.473,4.105,4.66,32.356,16.728,19,3.684,4.425,28.347,17.142,19.168,3.579,4.673,29.852,17.119,19.286,3.792,4.582,30.08,17.271,19.309,3.597,29.471
26,1,3,fpf-pure,4.874,16.674,19.477,4.238,4.774,32.567,16.733,19.548,4.144,4.874,32.232,16.709,19.245,4.084,4.822,27.729,16.793,19.292,4.013,4.108,27.192,17.132,19.388,3.371,4.755,29.616,17.005,19.963,3.7,29.044
27,1,5,fpf-pure,4.506,16.775,19.58,3.876,4.664,32.476,16.954,19.61,4.082,4.735,32.422,16.569,19.187,3.874,4.685,28.337,17.092,19.352,3.851,4.414,29.291,16.847,19.203,3.53,4.363,28.636,17.087,19.321,3.016,28.095
28,1,5,fpf-pure,4.493,16.787,19.47,3.797,4.115,33.218,16.668,19.318,3.425,4.709,32.473,17.069,19.087,3.676,4.005,30.102,16.711,19.157,3.143,4.035,28.519,16.8,19.222,3.256,4.667,29.077,16.805,19.739,3.545,29.831
29,1,6,fpf-pure,4.531,16.705,19.876,3.792,4.648,33.103,16.984,19.352,3.86,4.624,32.422,16.64,19.356,3.548,4.942,29.039,16.783,19.188,4.049,4.902,28.835,16.739,19.308,3.976,4.859,29.084,16.837,19.55,3.587,29.181
30,1,6,fpf-pure,4.245,17.044,19.55,3.562,4.76,33.684,16.757,19.335,4.008,4.848,32.503,17.095,19.126,3.735,4.294,30.64,17.096,19.484,3.336,4.577,30.449,17.044,19.34,3.68,4.635,29.203,16.788,19.48,3.624,27.948
EC-1,1,,evap-control,4.773,16.809,19.345,4.228,4.999,35.566,16.773,19.543,4.573,4.234,35.563,17.203,19.177,3.685,4.375,0,16.985,19.257,4.051,4.213,35.626,16.838,19.18,3.707,4.194,0,17.176,19.349,3.502,35.503
EC-2,1,,evap-control,4.275,16.856,19.137,3.946,4.062,35.267,16.649,19.539,3.85,4.276,35.398,16.786,19.381,3.888,4.675,34.3,17.108,19.361,3.727,4.584,34.966,17.276,19.546,3.996,4.31,35.098,16.98,19.551,3.332,35.254
EC-3,1,,evap-control,4.69,16.771,19.08,4.172,4.466,35.031,16.793,19.535,4.059,4.368,34.959,16.839,19.393,3.459,4.289,34.836,16.798,19.305,3.571,4.497,34.599,16.894,19.856,3.791,4.057,34.741,16.743,19.693,3.019,34.663
31,2,1,control,4.123,16.881,19.515,3.649,4.208,34.072,16.823,19.627,3.623,4.498,33.422,16.773,19.345,3.596,4.046,31.056,17.037,19.485,3.26,4.225,31.02,17.128,19.34,3.548,4.969,31.057,16.9,19.619,4.357,31.024
32,2,1,control,4.52,17.425,19.194,3.801,4.614,33.633,17.11,19.159,3.918,4.483,33.543,16.883,19.28,3.492,4.815,30.706,16.979,19.098,3.912,4.723,31.406,17.248,19.523,4.02,4.814,32.098,17.313,19.552,4.116,31.866
33,2,2,control,4.103,16.953,19.313,3.502,4.768,33.471,17.125,19.354,4.089,4.774,33.286,17.216,19.07,3.763,4.214,31.257,16.743,19.409,3.376,4.129,30.589,16.812,19.107,3.557,4.828,30.217,16.672,19.252,4.142,30.032
34,2,2,control,4.265,17.44,19.392,3.743,4.839,34.006,17.155,19.257,4.274,4.94,33.534,16.955,19.436,3.971,4.604,32.33,16.739,19.28,3.845,4.847,32.134,17.225,19.196,4.178,4.526,32.76,16.752,19.149,3.813,32.392
35,2,3,control,4.065,16.808,19.244,3.596,4.396,33.133,17.097,19.391,3.859,4.869,33.207,16.824,19.121,3.983,4.781,30.215,16.793,19.629,3.967,4.027,30.278,16.769,19.028,3.442,4.645,29.919,16.697,19.177,3.966,29.761
36,2,3,control,4.288,17.084,19.119,3.785,4.753,33.84,16.876,19.389,4.194,4.569,33.354,16.991,19.108,3.699,4.475,32.011,16.742,19.634,3.631,4.422,32.573,16.934,19.201,3.925,4.327,32.297,17.105,19.403,3.787,32.715
37,2,5,control,4.338,17.26,19.745,3.44,4.798,34.687,17.133,19.428,0,4.794,33.385,16.7,19.23,3.914,4.573,31.031,16.684,19.437,3.744,4.813,29.983,17.05,19.314,3.897,4.18,32.181,16.678,19.066,3.088,30.327
38,2,5,control,4.25,17.222,19.36,3.661,4.691,33.352,17.043,19.379,4.022,4.085,32.818,17.09,19.143,3.112,4.582,29.94,17.134,19.218,3.767,4.714,29.112,16.796,19.173,4.021,4.845,29.395,17.116,19.185,3.841,29.917
39,2,6,control,4.822,16.977,19.271,4.216,4.904,33.468,17.184,19.407,4.268,4.945,33.313,17.109,19.471,3.822,4.925,30.549,17.201,19.176,3.981,4.371,29.849,17.197,19.276,3.757,4.897,29.772,16.998,19.22,4.156,29.495
40,2,6,control,4.101,17.08,19.174,3.487,4.811,33.927,16.824,19.472,4.034,4.884,33.73,16.687,19.343,3.566,4.24,31.558,17.118,19.281,3.308,4.325,31.718,16.979,19.197,3.64,4.92,31.695,16.869,19.228,4.165,31.604
51,2,1,fpf-pure,4.014,17.14,19.619,3.548,4.294,34.04,16.904,19.773,3.786,4.194,33.633,16.759,19.14,3.367,4.359,30.191,17.047,19.412,3.472,4.766,32.162,17.018,19.078,4.142,4.376,32.46,16.699,19.389,3.648,31.595
52,2,1,fpf-pure,4.043,16.692,19.083,3.467,4.916,33.175,17.026,19.696,4.313,4.663,33.126,17.184,19.76,3.608,4.11,30.811,17.064,19.181,3.241,4.794,30.368,16.75,19.311,4.009,4.146,30.578,17.012,19.159,3.466,30.647
53,2,2,fpf-pure,4.778,17.29,19.368,4.161,4.745,33.748,17.066,19.536,4.104,4.13,33.797,16.687,19.15,3.111,4.288,30.094,16.625,19.153,3.356,4.318,30.538,16.676,19.171,3.599,4.701,30.786,16.813,19.302,3.879,31.215
54,2,2,fpf-pure,4.356,16.881,19.844,3.792,4.779,33.575,16.687,19.405,4.255,4.162,33.139,16.663,19.298,3.257,4.104,30.83,17.2,19.267,3.317,4.691,31.42,16.861,19.284,3.954,4.986,31.571,17.083,19.088,4.044,31.39
55,2,3,fpf-pure,4.576,17.15,19.426,4.011,4.958,33.719,16.736,19.426,4.392,4.453,32.81,17.062,19.149,3.517,4.606,30.487,17.18,19.223,3.598,4.569,30.242,16.768,19.045,3.86,4.541,29.92,17.228,19.138,3.817,29.515
56,2,3,fpf-pure,4.448,17.106,19.294,3.877,4.776,33.327,16.998,19.626,4.205,4.305,33.465,17.151,19.449,3.324,4.606,29.293,17.144,19.151,3.687,4.515,29.863,16.675,19.133,3.922,4.463,29.416,16.635,19.017,3.623,28.932
57,2,5,fpf-pure,4.709,16.834,19.255,4.085,4.821,32.891,16.658,19.665,4.211,4.737,32.962,17.081,19.457,3.613,4.037,30.391,17.159,19.135,3.084,4.743,29.551,17.144,19.051,3.962,4.258,30.568,16.72,19.104,3.498,30.074
58,2,5,fpf-pure,4.501,17.347,19.256,3.891,4.48,33.531,17.153,19.597,3.889,4.27,33.254,16.942,19.684,3.292,4.166,30.985,17.07,19.576,3.332,4.754,29.573,16.659,19.392,4.101,4.011,30.052,17.103,19.057,3.231,30.572
59,2,6,fpf-pure,4.943,17.036,19.28,4.293,4.913,33.486,16.746,19.652,4.217,4.623,33.905,16.927,19.483,3.48,4.241,31.679,16.846,19.247,3.234,4.621,31.375,16.852,19.124,3.877,4.641,0,17.117,19.312,3.888,30.82
60,2,6,fpf-pure,4.129,16.735,19.544,3.454,4.547,33.779,16.834,19.65,3.765,4.717,33.808,16.741,19.444,3.42,4.44,30.561,17.257,19.402,3.258,4.661,31.652,16.754,19.438,0,4.989,32.141,17.07,19.422,4.411,32.431
EC-4,2,,evap-control,4.248,17.101,19.579,3.614,4.102,36.177,16.715,19.252,3.797,4.796,35.474,16.681,19.352,0,4.812,35.063,17.044,19.619,4.342,4.942,35.648,17.18,19.531,0,4.111,35.852,16.767,19.17,0,35.138
EC-5,2,,evap-control,4.926,17.058,19.485,0,4.435,36.103,17.011,19.335,4.144,4.098,35.881,17.909,19.212,0,4.131,36.29,17.53,19.127,0,4.171,35.863,17.04,19.523,0,4.544,35.79,16.737,19.274,3.892,35.313
EC-6,2,,evap-control,4.077,16.685,19.278,3.654,4.605,0,16.753,19.464,4.244,4.56,35.648,17.437,19.369,3.871,4.322,35.661,16.976,19.554,3.796,4.094,35.291,17.1,19.556,0,4.997,35.634,17.173,19.826,4.473,35.99
61,3,1,control,4.111,17.014,19.419,3.611,4.735,34.025,17.359,19.684,4.11,4.772,32.577,17.009,19.303,3.96,4.803,29.518,16.853,19.425,4.087,4.972,30.672,16.666,19.663,4.041,4.724,30.6,16.746,19.682,3.902,30.203
62,3,1,control,4.244,16.693,19.702,3.72,4.632,33.894,17.22,19.365,4.026,4.3,33.047,17.083,19.123,3.588,4.549,29.763,17.025,19.334,3.762,4.629,30.391,16.781,19.364,3.834,4.201,29.627,17.096,19.289,3.518,29.724
63,3,2,control,4.145,17.076,19.228,3.366,4.053,33.824,16.83,19.548,3.241,4.827,33.116,16.751,19.382,3.847,4.306,30.83,16.786,19.436,3.717,4.719,31.838,17.204,19.724,0,4.825,32.125,16.96,19.13,0,31.398
64,3,2,control,4.04,17.007,19.415,3.479,4.52,0,17.285,19.295,3.915,4.049,31.821,16.731,19.347,3.355,4.738,30.756,16.826,19.463,3.908,4.84,31.117,17.258,19.547,3.849,4.589,30.549,16.706,19.119,3.505,28.928
65,3,3,control,4.245,16.617,19.201,3.741,4.126,32.657,17.111,19.541,3.645,4.997,33.195,17.127,19.088,4.321,4.573,30.527,16.722,19.288,3.947,4.782,31.212,17.236,19.216,4.005,4.362,29.031,16.695,19.16,3.633,29.52
66,3,3,control,4.739,16.769,19.212,4.155,4.387,33.521,17.149,19.211,3.66,4.811,32.945,17.037,19.235,3.944,4.803,29.661,16.829,19.211,4.053,4.212,30.493,16.803,19.144,3.404,4.717,29.478,16.897,19.343,3.878,29.632
67,3,5,control,4.831,16.761,19.265,4.013,4.401,33.232,17.232,19.614,3.572,4.82,34.227,17.03,19.436,3.817,4.724,0,17.112,19.202,3.911,4.703,29.758,16.846,19.126,3.902,4.72,29.008,16.77,19.331,3.851,29.01
68,3,5,control,4.959,17.281,19.947,4.321,4.681,33.667,17.17,19.479,4.035,4.513,32.001,16.71,19.133,3.662,4.658,29.645,17.033,19.083,3.917,4.557,29.937,16.75,19.147,3.758,4.435,28.893,17.015,19.209,3.642,29.205
69,3,6,control,4.668,17.224,19.292,4.238,4.841,33.655,17.298,19.457,4.368,4.724,32.935,17.128,19.367,3.995,4.492,30.464,17.121,19.271,3.882,4.699,30.537,17.229,19.133,3.989,4.153,29.979,17.017,19.139,3.483,29.709
70,3,6,control,4.245,16.836,19.357,3.74,4.549,33.249,17.244,19.269,4.027,4.618,32.115,16.705,19.17,3.899,4.408,29.293,17.061,19.402,3.822,4.855,30.879,16.983,19.441,4.09,4.502,30.32,17.066,19.337,3.704,30.786
81,3,1,fpf-pure,4.642,17.067,19.585,4.11,4.751,34.015,16.725,19.375,4.199,4.458,33.016,17.045,19.062,3.705,4.74,29.84,16.615,19.273,3.973,4.931,30.114,16.542,19.58,4.128,4.864,29.923,16.662,19.219,4.062,29.887
82,3,1,fpf-pure,4.148,17.201,19.302,3.682,4.42,34.381,17.125,19.236,3.841,4.489,33.861,17.002,19.132,3.733,4.803,30.626,16.988,19.187,4.078,4.659,30.319,16.74,19.303,3.9,4.936,29.61,16.987,19.166,4.126,29.787
83,3,2,fpf-pure,4.132,17.116,19.215,3.553,4.807,0,16.745,19.201,4.214,4.718,32.747,17.106,19.346,3.905,4.561,30.235,17.11,19.033,3.799,4.221,30.226,16.68,19.183,3.297,4.632,29.684,17.055,19.184,3.32,30.205
84,3,2,fpf-pure,4.257,16.854,19.364,3.835,4.948,0,16.837,19.212,4.478,4.744,0,16.85,19.045,3.871,4.704,31.259,17.108,19.278,3.998,4.521,29.949,16.66,19.115,3.774,4.948,29.999,17.115,19.191,4.144,30.635
85,3,3,fpf-pure,4.18,16.676,19.266,3.597,4.362,32.594,16.788,19.193,3.772,4.955,32.916,17.063,19.052,4.014,4.468,29.586,17.158,19.114,3.699,4.471,29.805,16.817,19.056,3.589,4.502,29.92,16.952,19.103,3.643,30.471
86,3,3,fpf-pure,4.621,17.201,19.363,3.912,4.992,32.849,16.661,19.274,4.311,4.851,32.508,16.668,19.525,4.07,4.75,30.76,17.094,19.108,4.083,4.648,30.491,17.189,19.544,3.706,4.181,28.865,16.826,19.198,3.046,30.625
87,3,5,fpf-pure,4.934,16.997,19.386,4.306,4.649,32.974,17.003,19.153,4.091,4.465,31.916,17.089,19.474,3.611,4.647,30.323,17.09,19.398,3.893,4.884,30.314,17.13,19.23,4.077,4.697,29.955,16.712,19.176,3.817,29.822
88,3,5,fpf-pure,4.709,17.045,19.179,4.186,4.845,32.705,17.147,19.368,4.273,4.259,33.333,16.825,19.05,3.51,4.747,29.858,16.67,19.115,4.032,4.707,29.64,16.673,19.272,3.92,4.688,29.363,16.661,19.126,3.793,29.934
89,3,6,fpf-pure,4.158,17.048,19.3,3.611,4.289,33.277,17.208,19.105,3.77,4.453,32.789,17.035,19.022,3.698,4.999,30.45,16.806,19.449,4.251,4.794,31.061,16.695,19.35,4.044,4.197,29.808,16.697,19.469,3.51,30.391
90,3,6,fpf-pure,4.897,16.648,19.651,4.251,4.26,32.341,17.169,19.58,3.677,4.484,32.803,17.096,19.091,3.622,4.75,30.19,17.059,19.264,3.987,4.729,30.693,17.078,19.28,3.925,4.617,30.2,16.701,19.442,3.857,28.678
EC-7,3,,evap-control,4.095,17.169,19.542,3.619,4.7,35.862,17.305,19.463,4.338,4.301,36.228,17.397,19.059,3.421,4.417,35.507,17.629,19.464,4.034,4.616,36.218,17.266,19.134,3.984,4.286,35.465,17.311,19.394,0,35.314
EC-8,3,,evap-control,4.239,17.795,19.47,3.878,4.39,36.859,17.688,19.31,4.039,4.808,36.644,17.614,19.768,4.404,4.224,36.616,16.711,19.458,3.889,4.327,35.433,17.155,19.068,3.977,4.954,35.407,17.542,19.511,4.288,0
EC-9,3,,evap-control,4.736,17.551,19.546,4.314,4.566,36.581,17.517,19.586,0,4.875,36.601,17.281,19.328,4.018,4.957,35.755,17.643,19.407,4.384,4.195,36.172,17.508,19.197,3.574,4.897,35.848,17.34,19.57,4.34,36.111
