male_number,microcolony_number,batch,colony_number,treatment,dry_mass_g
1,1,1,1,control,0.0841
2,1,1,1,control,0.0943
3,1,1,1,control,0.0884
4,1,1,1,control,0.1337
5,2,1,1,control,0.0782
6,2,1,1,control,0.0794
7,3,1,2,control,0.1054
8,3,1,2,control,0.1482
9,3,1,2,control,0.0925
10,4,1,2,control,0.1153
11,4,1,2,control,0.1099
12,4,1,2,control,0.0997
13,4,1,2,control,0.0917
14,7,1,5,control,0.1479
15,7,1,5,control,0.1305
16,7,1,5,control,0.118
17,7,1,5,control,0.1053
18,8,1,5,control,0.1284
19,8,1,5,control,0.155
20,8,1,5,control,0.1429
21,8,1,5,control,0.1494
22,8,1,5,control,0.1678
23,8,1,5,control,0.0967
24,8,1,5,control,0.1216
25,8,1,5,control,0.0867
26,8,1,5,control,0.1203
27,9,1,6,control,0.1069
28,9,1,6,control,0.1003
29,9,1,6,control,0.0837
30,9,1,6,control,0.0905
31,9,1,6,control,0.0824
32,9,1,6,control,0.0996
33,9,1,6,control,0.0957
34,9,1,6,control,0.1286
35,9,1,6,control,0.0602
36,9,1,6,control,0.0986
37,9,1,6,control,0.1274
38,9,1,6,control,0.0898
39,9,1,6,control,0.0951
40,9,1,6,control,0.0712
41,23,1,2,fpf-pure,0.1128
42,23,1,2,fpf-pure,0.1281
43,23,1,2,fpf-pure,0.1091
44,24,1,2,fpf-pure,0.0757
45,24,1,2,fpf-pure,0.1644
46,24,1,2,fpf-pure,0.1103
47,26,1,3,fpf-pure,0.103
48,26,1,3,fpf-pure,0.1502
49,26,1,3,fpf-pure,0.1081
50,26,1,3,fpf-pure,0.1147
51,27,1,5,fpf-pure,0.1452
52,27,1,5,fpf-pure,0.108
53,27,1,5,fpf-pure,0.1603
54,27,1,5,fpf-pure,0.1574
55,27,1,5,fpf-pure,0.1592
56,27,1,5,fpf-pure,0.1149
57,27,1,5,fpf-pure,0.1209
58,27,1,5,fpf-pure,0.125
59,27,1,5,fpf-pure,0.1466
60,27,1,5,fpf-pure,0.0756
61,27,1,5,fpf-pure,0.1229
62,27,1,5,fpf-pure,0.1581
63,28,1,5,fpf-pure,0.1186
64,28,1,5,fpf-pure,0.093
65,28,1,5,fpf-pure,0.1053
66,28,1,5,fpf-pure,0.1032
67,28,1,5,fpf-pure,0.1745
68,28,1,5,fpf-pure,0.1765
69,28,1,5,fpf-pure,0.0797
70,28,1,5,fpf-pure,0.1276
71,29,1,6,fpf-pure,0.1262
72,29,1,6,fpf-pure,0.1365
73,29,1,6,fpf-pure,0.0714
74,29,1,6,fpf-pure,0.1339
75,29,1,6,fpf-pure,0.094
76,29,1,6,fpf-pure,0.1147
77,29,1,6,fpf-pure,0.1577
78,29,1,6,fpf-pure,0.091
79,29,1,6,fpf-pure,0.1359
80,29,1,6,fpf-pure,0.1079
81,30,1,6,fpf-pure,0.0899
82,30,1,6,fpf-pure,0.0924
83,31,2,1,control,0.0945
84,34,2,2,control,0.091
85,34,2,2,control,0.1683
86,34,2,2,control,0.0817
87,34,2,2,control,0.142
88,37,2,5,control,0.1456
89,37,2,5,control,0.1591
90,37,2,5,control,0.1578
91,37,2,5,control,0.144
92,37,2,5,control,0.1452
93,37,2,5,control,0.1254
94,37,2,5,control,0.1208
95,37,2,5,control,0.1464
96,37,2,5,control,0.1191
97,38,2,5,control,0.0785
98,38,2,5,control,0.1395
99,38,2,5,control,0.1111
100,38,2,5,control,0.2039
101,38,2,5,control,0.1197
102,38,2,5,control,0.1385
103,39,2,6,control,0.1193
104,39,2,6,control,0.1154
105,39,2,6,control,0.1272
106,39,2,6,control,0.1542
107,39,2,6,control,0.1358
108,39,2,6,control,0.1076
109,39,2,6,control,0.1227
110,40,2,6,control,0.1038
111,40,2,6,control,0.096
112,40,2,6,control,0.1193
113,40,2,6,control,0.1118
114,40,2,6,control,0.0818
115,40,2,6,control,0.0946
116,40,2,6,control,0.1095
117,40,2,6,control,0.1318
118,40,2,6,control,0.1222
119,40,2,6,control,0.1221
120,40,2,6,control,0.1329
121,40,2,6,control,0.1115
122,40,2,6,control,0.1218
123,51,2,1,fpf-pure,0.096
124,53,2,2,fpf-pure,0.078
125,53,2,2,fpf-pure,0.1445
