worker,microcolony,batch,colony,treatment,days_survival_post_treatment
1,1,1,1,control,30
2,1,1,1,control,30
3,1,1,1,control,30
4,1,1,1,control,30
5,2,1,1,control,30
6,2,1,1,control,30
7,2,1,1,control,30
8,2,1,1,control,30
9,3,1,2,control,30
10,3,1,2,control,30
11,3,1,2,control,30
12,3,1,2,control,30
13,4,1,2,control,30
14,4,1,2,control,30
15,4,1,2,control,30
16,4,1,2,control,30
17,5,1,3,control,30
18,5,1,3,control,30
19,5,1,3,control,30
20,5,1,3,control,30
21,6,1,3,control,30
22,6,1,3,control,30
23,6,1,3,control,30
24,6,1,3,control,30
25,7,1,5,control,30
26,7,1,5,control,30
27,7,1,5,control,30
28,7,1,5,control,30
29,8,1,5,control,30
30,8,1,5,control,30
31,8,1,5,control,30
32,8,1,5,control,30
33,9,1,6,control,30
34,9,1,6,control,30
35,9,1,6,control,30
36,9,1,6,control,30
37,10,1,6,control,30
38,10,1,6,control,30
39,10,1,6,control,30
40,10,1,6,control,30
41,21,1,1,fpf-pure,20
42,21,1,1,fpf-pure,30
43,21,1,1,fpf-pure,30
44,21,1,1,fpf-pure,30
45,22,1,1,fpf-pure,30
46,22,1,1,fpf-pure,30
47,22,1,1,fpf-pure,30
48,22,1,1,fpf-pure,30
49,23,1,2,fpf-pure,30
50,23,1,2,fpf-pure,30
51,23,1,2,fpf-pure,30
52,23,1,2,fpf-pure,30
53,24,1,2,fpf-pure,28
54,24,1,2,fpf-pure,30
55,24,1,2,fpf-pure,30
56,24,1,2,fpf-pure,30
57,25,1,3,fpf-pure,30
58,25,1,3,fpf-pure,30
59,25,1,3,fpf-pure,30
60,25,1,3,fpf-pure,30
61,26,1,3,fpf-pure,30
62,26,1,3,fpf-pure,30
63,26,1,3,fpf-pure,30
64,26,1,3,fpf-pure,30
65,27,1,5,fpf-pure,30
66,27,1,5,fpf-pure,30
67,27,1,5,fpf-pure,30
68,27,1,5,fpf-pure,30
69,28,1,5,fpf-pure,30
70,28,1,5,fpf-pure,30
71,28,1,5,fpf-pure,30
72,28,1,5,fpf-pure,30
73,29,1,6,fpf-pure,30
74,29,1,6,fpf-pure,30
75,29,1,6,fpf-pure,30
76,29,1,6,fpf-pure,30
77,30,1,6,fpf-pure,30
78,30,1,6,fpf-pure,30
79,30,1,6,fpf-pure,30
80,30,1,6,fpf-pure,30
81,31,2,1,control,30
82,31,2,1,control,30
83,31,2,1,control,30
84,31,2,1,control,30
85,32,2,1,control,30
86,32,2,1,control,30
87,32,2,1,control,30
88,32,2,1,control,30
89,33,2,2,control,30
90,33,2,2,control,30
91,33,2,2,control,30
92,33,2,2,control,30
93,34,2,2,control,4
94,34,2,2,control,30
95,34,2,2,control,30
96,34,2,2,control,30
97,35,2,3,control,30
98,35,2,3,control,26
99,35,2,3,control,24
100,35,2,3,control,24
101,36,2,3,control,30
102,36,2,3,control,30
103,36,2,3,control,22
104,36,2,3,control,18
105,37,2,5,control,30
106,37,2,5,control,30
107,37,2,5,control,30
108,37,2,5,control,12
109,38,2,5,control,30
110,38,2,5,control,30
111,38,2,5,control,30
112,38,2,5,control,20
113,39,2,6,control,30
114,39,2,6,control,30
115,39,2,6,control,30
116,39,2,6,control,30
117,40,2,6,control,30
118,40,2,6,control,30
119,40,2,6,control,30
120,40,2,6,control,28
121,51,2,1,fpf-pure,30
122,51,2,1,fpf-pure,30
123,51,2,1,fpf-pure,30
124,51,2,1,fpf-pure,30
125,52,2,1,fpf-pure,30
126,52,2,1,fpf-pure,30
127,52,2,1,fpf-pure,30
128,52,2,1,fpf-pure,22
129,53,2,2,fpf-pure,30
130,53,2,2,fpf-pure,30
131,53,2,2,fpf-pure,30
132,53,2,2,fpf-pure,30
133,54,2,2,fpf-pure,30
134,54,2,2,fpf-pure,30
135,54,2,2,fpf-pure,30
136,54,2,2,fpf-pure,2
137,55,2,3,fpf-pure,30
138,55,2,3,fpf-pure,30
139,55,2,3,fpf-pure,28
140,55,2,3,fpf-pure,24
141,56,2,3,fpf-pure,30
142,56,2,3,fpf-pure,30
143,56,2,3,fpf-pure,30
144,56,2,3,fpf-pure,30
145,57,2,5,fpf-pure,30
146,57,2,5,fpf-pure,30
147,57,2,5,fpf-pure,30
148,57,2,5,fpf-pure,28
149,58,2,5,fpf-pure,30
150,58,2,5,fpf-pure,30
151,58,2,5,fpf-pure,30
152,58,2,5,fpf-pure,30
153,59,2,6,fpf-pure,30
154,59,2,6,fpf-pure,30
155,59,2,6,fpf-pure,30
156,59,2,6,fpf-pure,30
157,60,2,6,fpf-pure,30
158,60,2,6,fpf-pure,30
159,60,2,6,fpf-pure,30
160,60,2,6,fpf-pure,30
161,61,3,1,control,30
162,61,3,1,control,30
163,61,3,1,control,30
164,61,3,1,control,30
165,62,3,1,control,30
166,62,3,1,control,30
167,62,3,1,control,30
168,62,3,1,control,20
169,63,3,2,control,30
170,63,3,2,control,30
171,63,3,2,control,30
172,63,3,2,control,16
173,64,3,2,control,30
174,64,3,2,control,30
175,64,3,2,control,30
176,64,3,2,control,30
177,65,3,3,control,30
178,65,3,3,control,30
179,65,3,3,control,30
180,65,3,3,control,24
181,66,3,3,control,30
182,66,3,3,control,30
183,66,3,3,control,30
184,66,3,3,control,30
185,67,3,5,control,30
186,67,3,5,control,30
187,67,3,5,control,30
188,67,3,5,control,30
189,68,3,5,control,30
190,68,3,5,control,30
191,68,3,5,control,30
192,68,3,5,control,30
193,69,3,6,control,30
194,69,3,6,control,30
195,69,3,6,control,30
196,69,3,6,control,24
197,70,3,6,control,30
198,70,3,6,control,30
199,70,3,6,control,30
200,70,3,6,control,30
201,81,3,1,fpf-pure,30
202,81,3,1,fpf-pure,30
203,81,3,1,fpf-pure,30
204,81,3,1,fpf-pure,30
205,82,3,1,fpf-pure,30
206,82,3,1,fpf-pure,30
207,82,3,1,fpf-pure,30
208,82,3,1,fpf-pure,30
209,83,3,2,fpf-pure,30
210,83,3,2,fpf-pure,30
211,83,3,2,fpf-pure,30
212,83,3,2,fpf-pure,30
213,84,3,2,fpf-pure,30
214,84,3,2,fpf-pure,30
215,84,3,2,fpf-pure,30
216,84,3,2,fpf-pure,30
217,85,3,3,fpf-pure,30
218,85,3,3,fpf-pure,30
219,85,3,3,fpf-pure,30
220,85,3,3,fpf-pure,30
221,86,3,3,fpf-pure,30
222,86,3,3,fpf-pure,30
223,86,3,3,fpf-pure,30
224,86,3,3,fpf-pure,30
225,87,3,5,fpf-pure,30
226,87,3,5,fpf-pure,30
227,87,3,5,fpf-pure,30
228,87,3,5,fpf-pure,30
229,88,3,5,fpf-pure,30
230,88,3,5,fpf-pure,30
231,88,3,5,fpf-pure,30
232,88,3,5,fpf-pure,30
233,89,3,6,fpf-pure,30
234,89,3,6,fpf-pure,30
235,89,3,6,fpf-pure,30
236,89,3,6,fpf-pure,30
237,90,3,6,fpf-pure,30
238,90,3,6,fpf-pure,30
239,90,3,6,fpf-pure,30
240,90,3,6,fpf-pure,30
