Insecticide,Formulation,Number of Countries Approved in for Outdoor Application to Bee Attractive Crops (24),Number of Countries Approved in for Outdoor Application to Bee Attractive Crops Without Clear Restrictions,Number of Countries Approved in for Outdoor Application to Bee Attractive Crops Without Flowering Window Restrictions for All Crops,Number of Outdoor Bee Attractive Crop Applications Approved,Number of Outdoor Bee Attractive Crop Applications Approved Without Clear Restrictions,Number of Outdoor Bee Attractive Crop Applications Approved Without Flowering Window Restrictions
Flupyradifurone,Sivanto Prime,12,1,10,70,10,65
,Inter Avanta,1,0,1,5,0,5
,Vsm Prime,1,0,1,5,0,5
,Sanium 25 SL,1,0,1,2,0,2
Sulfoxaflor,Closer,7,0,0,84,0,0
Cyantraniliprole,Benevia,6,1,3,6,1,3
,Exirel,5,0,0,32,0,0
,Minecto One,3,0,1,15,0,7
,Minecto Alpha,2,0,0,4,0,0
,Mainspring,1,0,0,1,0,0
,Verimark,1,0,0,1,0,0
