Insecticide,Formulation,Number of Countries Approved in for Outdoor Application to Bee Attractive Crops (24),Number of Countries Approved in for Outdoor Application to Bee Attractive Crops Without Full Flowering Window Restrictions for All Crops,Number of Outdoor Bee Attractive Crop Applications Approved,Number of Outdoor Bee Attractive Crop Applications Approved Without Full Flowering Window Restrictions
Flupyradifurone,Sivanto Prime,12,9,79,71
,Inter Avanta,1,1,5,5
,Vsm Prime,1,1,5,5
,Sanium 25 SL,1,1,2,2
Sulfoxaflor,Closer,7,0,84,0
Cyantraniliprole,Benevia,6,3,6,3
,Exirel,5,0,32,0
,Minecto One,3,1,15,7
,Minecto Alpha,2,0,4,0
,Mainspring,1,0,1,0
,Verimark,1,0,1,0
