microcolony-number,batch,colony-derived-from,treatment,day-0-date,day_1,day_2,day_4,day_6,day_8,day_10
1,1,1,control,04/10/2021,4,4,4,4,4,4
2,1,1,control,04/10/2021,4,4,4,4,4,4
3,1,2,control,04/10/2021,4,4,4,4,4,4
4,1,2,control,04/10/2021,4,4,4,4,4,4
5,1,3,control,04/10/2021,4,4,4,4,4,4
6,1,3,control,04/10/2021,4,4,4,4,4,4
7,1,5,control,04/10/2021,4,4,4,4,4,4
8,1,5,control,04/10/2021,4,4,4,4,4,4
9,1,6,control,04/10/2021,4,4,4,4,4,4
10,1,6,control,04/10/2021,4,4,4,4,4,4
21,1,1,fpf-pure,04/10/2021,4,4,4,4,4,4
22,1,1,fpf-pure,04/10/2021,4,4,4,4,4,4
23,1,2,fpf-pure,04/10/2021,4,4,4,4,4,4
24,1,2,fpf-pure,04/10/2021,4,4,4,4,4,4
25,1,3,fpf-pure,04/10/2021,4,4,4,4,4,4
26,1,3,fpf-pure,04/10/2021,4,4,4,4,4,4
27,1,5,fpf-pure,04/10/2021,4,4,4,4,4,4
28,1,5,fpf-pure,04/10/2021,4,4,4,4,4,4
29,1,6,fpf-pure,04/10/2021,4,4,4,4,4,4
30,1,6,fpf-pure,04/10/2021,4,4,4,4,4,4
31,2,1,control,10/10/2021,4,4,4,4,4,4
32,2,1,control,10/10/2021,4,4,4,4,4,4
33,2,2,control,10/10/2021,4,4,4,4,4,4
34,2,2,control,10/10/2021,4,4,3,3,3,3
35,2,3,control,10/10/2021,4,4,4,4,4,4
36,2,3,control,10/10/2021,4,4,4,4,4,4
37,2,5,control,10/10/2021,4,4,4,4,4,4
38,2,5,control,10/10/2021,4,4,4,4,4,4
39,2,6,control,10/10/2021,4,4,4,4,4,4
40,2,6,control,10/10/2021,4,4,4,4,4,4
51,2,1,fpf-pure,10/10/2021,4,4,4,4,4,4
52,2,1,fpf-pure,10/10/2021,4,4,4,4,4,4
53,2,2,fpf-pure,10/10/2021,4,4,4,4,4,4
54,2,2,fpf-pure,10/10/2021,4,3,3,3,3,3
55,2,3,fpf-pure,10/10/2021,4,4,4,4,4,4
56,2,3,fpf-pure,10/10/2021,4,4,4,4,4,4
57,2,5,fpf-pure,10/10/2021,4,4,4,4,4,4
58,2,5,fpf-pure,10/10/2021,4,4,4,4,4,4
59,2,6,fpf-pure,10/10/2021,4,4,4,4,4,4
60,2,6,fpf-pure,10/10/2021,4,4,4,4,4,4
61,3,1,control,16/10/2021,4,4,4,4,4,4
62,3,1,control,16/10/2021,4,4,4,4,4,4
63,3,2,control,16/10/2021,4,4,4,4,4,4
64,3,2,control,16/10/2021,4,4,4,4,4,4
65,3,3,control,16/10/2021,4,4,4,4,4,4
66,3,3,control,16/10/2021,4,4,4,4,4,4
67,3,5,control,16/10/2021,4,4,4,4,4,4
68,3,5,control,16/10/2021,4,4,4,4,4,4
69,3,6,control,16/10/2021,4,4,4,4,4,4
70,3,6,control,16/10/2021,4,4,4,4,4,4
81,3,1,fpf-pure,16/10/2021,4,4,4,4,4,4
82,3,1,fpf-pure,16/10/2021,4,4,4,4,4,4
83,3,2,fpf-pure,16/10/2021,4,4,4,4,4,4
84,3,2,fpf-pure,16/10/2021,4,4,4,4,4,4
85,3,3,fpf-pure,16/10/2021,4,4,4,4,4,4
86,3,3,fpf-pure,16/10/2021,4,4,4,4,4,4
87,3,5,fpf-pure,16/10/2021,4,4,4,4,4,4
88,3,5,fpf-pure,16/10/2021,4,4,4,4,4,4
89,3,6,fpf-pure,16/10/2021,4,4,4,4,4,4
90,3,6,fpf-pure,16/10/2021,4,4,4,4,4,4
