"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"1","1","1","control",2.29266666666667,1
"2","1","1","control",2.01266666666667,1
"3","1","2","control",2.21066666666667,1
"4","1","2","control",1.79366666666667,1
"5","1","3","control",2.16966666666667,1
"6","1","3","control",2.21966666666667,1
"7","1","5","control",1.77566666666667,1
"8","1","5","control",2.15966666666667,1
"9","1","6","control",2.22766666666666,1
"10","1","6","control",2.96466666666666,1
"21","1","1","fpf-pure",2.53366666666667,1
"22","1","1","fpf-pure",2.67066666666667,1
"23","1","2","fpf-pure",2.49066666666667,1
"24","1","2","fpf-pure",2.19966666666666,1
"25","1","3","fpf-pure",2.40166666666667,1
"26","1","3","fpf-pure",2.87266666666667,1
"27","1","5","fpf-pure",3.16766666666667,1
"28","1","5","fpf-pure",2.32766666666666,1
"29","1","6","fpf-pure",2.76666666666667,1
"30","1","6","fpf-pure",2.19866666666667,1
"31","2","1","control",1.8525,1
"32","2","1","control",2.5145,1
"33","2","2","control",2.3235,1
"34","2","2","control",2.3545,1
"35","2","3","control",2.4475,1
"36","2","3","control",1.8915,1
"37","2","5","control",1.84650000000001,1
"38","2","5","control",2.75850000000001,1
"39","2","6","control",2.3085,1
"40","2","6","control",1.8555,1
"51","2","1","fpf-pure",2.2475,1
"52","2","1","fpf-pure",2.1285,1
"53","2","2","fpf-pure",2.4385,1
"54","2","2","fpf-pure",2.6785,1
"55","2","3","fpf-pure",2.38549999999999,1
"56","2","3","fpf-pure",2.60150000000001,1
"57","2","5","fpf-pure",2.7265,1
"58","2","5","fpf-pure",2.6005,1
"59","2","6","fpf-pure",2.35850000000001,1
"60","2","6","fpf-pure",2.02849999999999,1
"61","3","1","control",1.81766666666667,1
"62","3","1","control",1.91066666666668,1
"63","3","2","control",1.88966666666668,1
"65","3","3","control",2.57066666666667,1
"66","3","3","control",1.86966666666667,1
"67","3","5","control",2.20366666666667,1
"68","3","5","control",2.97066666666666,1
"69","3","6","control",2.27066666666668,1
"70","3","6","control",2.35366666666667,1
"81","3","1","fpf-pure",2.04666666666667,1
"82","3","1","fpf-pure",1.53166666666667,1
"85","3","3","fpf-pure",2.75766666666666,1
"86","3","3","fpf-pure",3.12466666666667,1
"87","3","5","fpf-pure",2.81866666666667,1
"88","3","5","fpf-pure",2.92866666666668,1
"89","3","6","fpf-pure",2.48066666666667,1
"90","3","6","fpf-pure",3.36766666666667,1
"1","1","1","control",2.54733333333333,2
"2","1","1","control",2.87733333333333,2
"3","1","2","control",2.03433333333334,2
"4","1","2","control",1.96433333333333,2
"5","1","3","control",2.72233333333333,2
"6","1","3","control",2.35233333333334,2
"7","1","5","control",2.82233333333334,2
"8","1","5","control",2.19533333333333,2
"9","1","6","control",2.08233333333334,2
"10","1","6","control",3.19633333333334,2
"21","1","1","fpf-pure",2.21833333333333,2
"22","1","1","fpf-pure",2.51633333333333,2
"23","1","2","fpf-pure",2.56033333333333,2
"24","1","2","fpf-pure",1.83033333333334,2
"25","1","3","fpf-pure",3.14533333333333,2
"26","1","3","fpf-pure",3.07833333333333,2
"27","1","5","fpf-pure",3.17133333333334,2
"28","1","5","fpf-pure",2.54233333333334,2
"29","1","6","fpf-pure",2.94333333333334,2
"30","1","6","fpf-pure",2.61833333333333,2
"31","2","1","control",2.51900000000001,2
"32","2","1","control",2.217,2
"33","2","2","control",2.684,2
"34","2","2","control",2.36900000000001,2
"35","2","3","control",2.772,2
"36","2","3","control",2.402,2
"37","2","5","control",2.667,2
"38","2","5","control",3.095,2
"39","2","6","control",2.769,2
"40","2","6","control",2.05700000000001,2
"51","2","1","fpf-pure",2.535,2
"52","2","1","fpf-pure",3.087,2
"53","2","2","fpf-pure",2.29600000000001,2
"54","2","2","fpf-pure",2.444,2
"55","2","3","fpf-pure",2.843,2
"56","2","3","fpf-pure",2.65,2
