Pesticides Database - Active Substances (File created on 2021-05-18),,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,
Active Substance ID,Substance,Category,Status under Reg. (EC) No 1107/2009,Date of approval,Expiration of approval,Legislation,Remark,RMS,Co-RMS,Assess Risk,Reg 396/2005,Candidate for substitution,Basic substance,Low-risk a.s.,ADI (mg/kg bw/d), Source/Year, Remark, ARfD (mg/kg bw), Source/Year, Remark, AOEL (mg/kg bw/d), Source/Year, Remark, Classification (Reg. 1272/2008), Authorised
351,"(4Z-9Z)-7,9-Dodecadien-1-ol",AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
1329,(E)-10-Dodecen-1-yl acetate,AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
357,(E)-11-Tetradecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,Not appl.,Dir 08/127,,,"ES, IT, LU"
358,"(E)-2-Methyl-6-methylene-2,7-octadien-1-ol (myrcenol)",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
359,"(E)-2-Methyl-6-methylene-3,7-octadien-2-ol (isomyrcenol)",,Not approved,,,,Never notified and authorised in the EU,,,,,,,,,,,,,,,,,,
360,(E)-5-Decen-1-ol,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"EL, ES, IT"
1330,(E)-5-Decen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"EL, ES, IT"
361,(E)-8-Dodecen-1-yl acetate,AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, CZ, DE, EL, ES, IT, LU, NL, PT, SI"
696,(E)-9-Dodecen-1-yl acetate,,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
352,"(E,E)-7,9-Dodecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,IT,FR,COM,,,,,,,,,,,,,,,"CZ, EL, ES, IT"
352,"(E,E)-7,9-Dodecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,FR,COM,,,,,,,,,,,,,,,"CZ, EL, ES, IT"
362,"(E,E)-8,10-Dodecadien-1-ol",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, BE, CZ, DE, DK, EE, EL, ES, FI, HR, HU, IT, LU, NL, PL, PT, SE, SI"
355,"(E,E)-8,10-Dodecadien-1-yl acetate",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,"ES, PT"
349,"(E,Z)-2,13-Octadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,FR,COM,,,,,,,,,,,,,,,"BE, ES, IT, PL"
349,"(E,Z)-2,13-Octadecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,IT,FR,COM,,,,,,,,,,,,,,,"BE, ES, IT, PL"
1241,"(E,Z)-3,8-Tetradecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, BE, CZ, EL, ES, HU, IE, IT, NL, UK"
350,"(E,Z)-4,7-Tridecadien-1-yl acetate",AT,Not approved,,,2004/129/EC,,,,,,,,,,,,,,,,,,,
1328,"(E,Z)-7,9-Dodecadien-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"AT, CY, CZ, DE, EL, ES, HU, IT, LU, MT, PT, SI"
363,"(E,Z)-8,10-Tetradecadien-1-yl",,Not approved,,,2007/442,,,,,,,,,,,,,,,,,,,
364,"(E,Z)-8-Dodecen-1-yl acetate",AT,Approved,01/09/2009,31/08/2021,"2008/127, Reg. (EU) 2017/195, Reg. (EU) No 540/2011, Reg. (EU) No 918/2014, Reg. (EU)2020/1160",Substance fulfilling criteria Annex VI Reg. 2229/2004,AT,,COM,,,,,,,,,,,,,,,"ES, IT"
